d0h 0 money=3000 | farmer ['PASS'] | hands []
d0h 1 money=300 | farmer ['BUILD_PASTURE'] | hands [['WEST'], ['WEST'], ['NORTH'], ['NORTH'], ['WEST']]
d0h 2 money=110 | farmer ['PICKUP', 'COW', 1] | hands [['PICKUP', 'COW', 1], ['NORTH'], ['NORTH'], ['NORTH'], ['NORTH']]
d0h 3 money=80 | farmer ['PLACE', 'COW'] | hands [['DROP'], ['BUILD_PASTURE'], ['WEST'], ['NORTH'], ['WEST']]
d0h 4 money=60 | farmer ['PICKUP', 'WHEAT', 3] | hands [['PICKUP', 'WHEAT', 3], ['EAST'], ['SOUTH'], ['PLANT', 'WHEAT'], ['NORTH']]
d0h 5 money=60 | farmer ['PICKUP', 'COW', 1] | hands [['PICKUP', 'COW', 1], ['PICKUP', 'WHEAT', 3], ['PICKUP', 'WHEAT', 3], ['SOUTH'], ['PLANT', 'MELON']]
d0h 6 money=60 | farmer ['WEST'] | hands [['DROP'], ['FEED'], ['NORTH'], ['SOUTH'], ['SOUTH']]
d0h 7 money=60 | farmer ['PLACE', 'COW'] | hands [['PICKUP', 'COW', 1], ['NORTH'], ['NORTH'], ['WEST'], ['EAST']]
d0h 8 money=60 | farmer ['FEED'] | hands [['DROP'], ['NORTH'], ['BUILD_PASTURE'], ['EAST'], ['BUILD_PASTURE']]
d0h 9 money=60 | farmer ['EAST'] | hands [['PICKUP', 'COW', 1], ['NORTH'], ['WEST'], ['PLACE', 'COW'], ['NORTH']]
d0h10 money=60 | farmer ['NORTH'] | hands [['NORTH'], ['WEST'], ['EAST'], ['WEST'], ['NORTH']]
d0h11 money=60 | farmer ['NORTH'] | hands [['PLACE', 'COW'], ['SOUTH'], ['PLACE', 'COW'], ['PLANT', 'WHEAT'], ['NORTH']]
d0h12 money=60 | farmer ['SOUTH'] | hands [['SOUTH'], ['SOUTH'], ['SOUTH'], ['EAST'], ['PLANT', 'MELON']]
d0h13 money=60 | farmer ['SOUTH'] | hands [['PICKUP', 'WHEAT', 3], ['EAST'], ['FEED'], ['SOUTH'], ['WATER']]
d0h14 money=60 | farmer ['PICKUP', 'SHEEP', 1] | hands [['PICKUP', 'SHEEP', 1], ['WEST'], ['WEST'], ['NORTH'], ['SOUTH']]
d0h15 money=60 | farmer ['NORTH'] | hands [['WEST'], ['NORTH'], ['NORTH'], ['WEST'], ['WEST']]
d0h16 money=60 | farmer ['NORTH'] | hands [['NORTH'], ['WATER'], ['EAST'], ['WEST'], ['PLANT', 'WHEAT']]
d0h17 money=60 | farmer ['PLACE', 'SHEEP'] | hands [['WATER'], ['NORTH'], ['NORTH'], ['PLANT', 'MELON'], ['NORTH']]
d0h18 money=60 | farmer ['NORTH'] | hands [['EAST'], ['WATER'], ['WEST'], ['EAST'], ['PLANT', 'WHEAT']]
d0h19 money=60 | farmer ['WATER'] | hands [['NORTH'], ['NORTH'], ['SOUTH'], ['EAST'], ['PASS']]
d0h20 money=60 | farmer ['SOUTH'] | hands [['NORTH'], ['SOUTH'], ['PASS'], ['SOUTH'], ['PASS']]
d0h21 money=60 | farmer ['FEED'] | hands [['WEST'], ['SOUTH'], ['PASS'], ['PICKUP', 'WHEAT', 3], ['PASS']]
d0h22 money=60 | farmer ['NORTH'] | hands [['SOUTH'], ['PASS'], ['PASS'], ['PASS'], ['PASS']]
d0h23 money=60 | farmer ['WEST'] | hands [['WEST'], ['PASS'], ['PASS'], ['PASS'], ['PASS']]
d1h 0 money=60 | farmer ['PICKUP', 'WHEAT', 3] | hands []
d1h 1 money=40 | farmer ['FEED'] | hands [['PICKUP', 'WHEAT', 3], ['PICKUP', 'WHEAT', 3], ['NORTH'], ['WEST'], ['NORTH'], ['NORTH']]
d1h 2 money=40 | farmer ['NORTH'] | hands [['PICKUP', 'WHEAT', 3], ['WEST'], ['NORTH'], ['EAST'], ['WEST'], ['NORTH']]
d1h 3 money=40 | farmer ['FEED'] | hands [['PICKUP', 'WHEAT', 3], ['NORTH'], ['WEST'], ['COLLECT_FERTILIZER'], ['WEST'], ['NORTH']]
d1h 4 money=40 | farmer ['NORTH'] | hands [['PICKUP', 'WHEAT', 3], ['FEED'], ['COLLECT_FERTILIZER'], ['WEST'], ['NORTH'], ['NORTH']]
d1h 5 money=40 | farmer ['FEED'] | hands [['PICKUP', 'WHEAT', 3], ['FEED'], ['WEST'], ['NORTH'], ['NORTH'], ['WATER']]
d1h 6 money=40 | farmer ['SOUTH'] | hands [['WEST'], ['NORTH'], ['WATER'], ['NORTH'], ['WATER'], ['NORTH']]
d1h 7 money=40 | farmer ['SOUTH'] | hands [['WEST'], ['EAST'], ['NORTH'], ['NORTH'], ['WEST'], ['WEST']]
d1h 8 money=40 | farmer ['PICKUP', 'WHEAT', 3] | hands [['FEED'], ['NORTH'], ['WATER'], ['EAST'], ['PLANT', 'WHEAT'], ['WEST']]
d1h 9 money=40 | farmer ['WEST'] | hands [['EAST'], ['COLLECT_FERTILIZER'], ['WEST'], ['NORTH'], ['NORTH'], ['WEST']]
d1h10 money=40 | farmer ['FEED'] | hands [['PICKUP', 'WHEAT', 3], ['NORTH'], ['NORTH'], ['WEST'], ['WEST'], ['WEST']]
d1h11 money=40 | farmer ['COLLECT_FERTILIZER'] | hands [['NORTH'], ['WEST'], ['NORTH'], ['WEST'], ['WEST'], ['SOUTH']]
d1h12 money=40 | farmer ['NORTH'] | hands [['NORTH'], ['WEST'], ['WEST'], ['WEST'], ['SOUTH'], ['EAST']]
d1h13 money=40 | farmer ['NORTH'] | hands [['NORTH'], ['NORTH'], ['PLANT', 'WHEAT'], ['WEST'], ['PLANT', 'WHEAT'], ['PLANT', 'MELON']]
d1h14 money=40 | farmer ['WEST'] | hands [['NORTH'], ['PLANT', 'WHEAT'], ['WATER'], ['PLANT', 'MELON'], ['WATER'], ['WATER']]
d1h15 money=40 | farmer ['NORTH'] | hands [['WATER'], ['WATER'], ['WEST'], ['SOUTH'], ['EAST'], ['EAST']]
d1h16 money=40 | farmer ['WATER'] | hands [['WEST'], ['SOUTH'], ['SOUTH'], ['EAST'], ['SOUTH'], ['SOUTH']]
d1h17 money=40 | farmer ['WEST'] | hands [['SOUTH'], ['WEST'], ['SOUTH'], ['SOUTH'], ['WEST'], ['SOUTH']]
d1h18 money=40 | farmer ['WEST'] | hands [['WEST'], ['SOUTH'], ['PLANT', 'MELON'], ['SOUTH'], ['SOUTH'], ['SOUTH']]
d1h19 money=40 | farmer ['NORTH'] | hands [['WEST'], ['EAST'], ['SOUTH'], ['NORTH'], ['PASS'], ['PASS']]
d1h20 money=40 | farmer ['WATER'] | hands [['WEST'], ['SOUTH'], ['SOUTH'], ['EAST'], ['PASS'], ['PASS']]
d1h21 money=40 | farmer ['SOUTH'] | hands [['SOUTH'], ['DIG'], ['NORTH'], ['PASS'], ['PASS'], ['PASS']]
d1h22 money=40 | farmer ['SOUTH'] | hands [['SOUTH'], ['NORTH'], ['PASS'], ['PASS'], ['PASS'], ['PASS']]
d1h23 money=40 | farmer ['WATER'] | hands [['SOUTH'], ['NORTH'], ['PASS'], ['PASS'], ['PASS'], ['PASS']]
