d 0 | cows 0 sheep 0 | shed C 0 S 0 | money    3000 | buys [['BUY_ANIMAL', 'COW', 3], ['BUY_ANIMAL', 'SHEEP', 1]] | market [['HIRE'], ['HIRE'], ['BUY_ANIMAL', 'COW', 3], ['BUY_ANIMAL', 'SHEEP', 1]]
d 2 | cows 2 sheep 0 | shed C 0 S 1 | money       5 | buys [] | market []
d 4 | cows 2 sheep 1 | shed C 0 S 0 | money      81 | buys [] | market [['SELL', 'FERTILIZER', 3]]
d 6 | cows 2 sheep 1 | shed C 0 S 0 | money      83 | buys [] | market [['SELL', 'FERTILIZER', 3]]
d 8 | cows 2 sheep 1 | shed C 0 S 0 | money      88 | buys [] | market [['SELL', 'WHEAT', 20], ['SELL', 'FERTILIZER', 3]]
d10 | cows 3 sheep 1 | shed C 0 S 0 | money      84 | buys [] | market [['SELL', 'MILK', 2], ['SELL', 'FERTILIZER', 3]]
d12 | cows 4 sheep 1 | shed C 0 S 0 | money      88 | buys [] | market [['SELL', 'WHEAT', 2], ['SELL', 'MILK', 2], ['SELL', 'WOOL', 1], ['SELL', 'FERTILIZER', 4]]
d14 | cows 4 sheep 1 | shed C 0 S 0 | money      84 | buys [] | market [['SELL', 'MILK', 2], ['SELL', 'FERTILIZER', 4]]
d16 | cows 5 sheep 1 | shed C 0 S 0 | money     137 | buys [] | market [['SELL', 'MELON', 24], ['SELL', 'MILK', 2], ['SELL', 'FERTILIZER', 4], ['HIRE']]
d18 | cows 6 sheep 1 | shed C 2 S 5 | money      24 | buys [] | market [['SELL', 'MILK', 3], ['SELL', 'WOOL', 1], ['SELL', 'FERTILIZER', 6]]
d20 | cows 6 sheep 3 | shed C 2 S 3 | money     136 | buys [] | market [['SELL', 'MILK', 2], ['SELL', 'FERTILIZER', 7], ['HIRE'], ['HIRE']]
d22 | cows 6 sheep 4 | shed C 2 S 2 | money    1804 | buys [] | market [['SELL', 'STRAWBERRY', 1], ['SELL', 'MILK', 2], ['SELL', 'FERTILIZER', 8], ['HIRE']]
d24 | cows 6 sheep 4 | shed C 2 S 2 | money    3753 | buys [] | market [['SELL', 'STRAWBERRY', 2], ['SELL', 'MILK', 4], ['SELL', 'WOOL', 1], ['SELL', 'FERTILIZER', 9]]
d26 | cows 6 sheep 4 | shed C 2 S 2 | money    7385 | buys [] | market [['SELL', 'STRAWBERRY', 1], ['SELL', 'MILK', 3], ['SELL', 'WOOL', 1], ['SELL', 'FERTILIZER', 9]]
d28 | cows 6 sheep 4 | shed C 2 S 2 | money    9590 | buys [] | market [['SELL', 'WHEAT', 6], ['SELL', 'MILK', 1], ['SELL', 'FERTILIZER', 6], ['HIRE']]
