d3h 0 | animals 3 unfed 3 | feed_acts 0 pickup_wheat 1 | shed_wheat 12 inv_wheat 0 | market [['SELL', 'FERTILIZER', 2]]
d3h 1 | animals 3 unfed 3 | feed_acts 0 pickup_wheat 0 | shed_wheat 9 inv_wheat 3 | market [['HIRE'], ['HIRE'], ['HIRE']]
d3h 2 | animals 3 unfed 3 | feed_acts 0 pickup_wheat 2 | shed_wheat 9 inv_wheat 3 | market [['BUY_SEED', 'WHEAT', 3]]
d3h 3 | animals 3 unfed 3 | feed_acts 0 pickup_wheat 2 | shed_wheat 6 inv_wheat 6 | market [['BUY_SEED', 'WHEAT', 1.0]]
d3h 4 | animals 3 unfed 3 | feed_acts 0 pickup_wheat 1 | shed_wheat 3 inv_wheat 9 | market []
d3h 5 | animals 3 unfed 3 | feed_acts 1 pickup_wheat 2 | shed_wheat 3 inv_wheat 9 | market []
d3h 6 | animals 3 unfed 2 | feed_acts 0 pickup_wheat 1 | shed_wheat 3 inv_wheat 8 | market []
d3h 7 | animals 3 unfed 2 | feed_acts 1 pickup_wheat 1 | shed_wheat 3 inv_wheat 8 | market []
d3h 8 | animals 3 unfed 1 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 7 | market []
d3h 9 | animals 3 unfed 1 | feed_acts 1 pickup_wheat 0 | shed_wheat 3 inv_wheat 7 | market []
d3h10 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d3h11 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d3h12 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d3h13 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d3h14 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d3h15 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d3h16 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d3h17 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d3h18 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d3h19 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d3h20 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d3h21 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d3h22 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d3h23 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 3 inv_wheat 6 | market []
d4h 0 | animals 3 unfed 3 | feed_acts 0 pickup_wheat 1 | shed_wheat 9 inv_wheat 0 | market [['SELL', 'FERTILIZER', 3]]
d4h 1 | animals 3 unfed 3 | feed_acts 0 pickup_wheat 0 | shed_wheat 6 inv_wheat 3 | market [['HIRE'], ['HIRE'], ['HIRE']]
d4h 2 | animals 3 unfed 3 | feed_acts 0 pickup_wheat 2 | shed_wheat 11 inv_wheat 3 | market [['BUY_SEED', 'WHEAT', 1.0]]
d4h 3 | animals 3 unfed 3 | feed_acts 0 pickup_wheat 2 | shed_wheat 8 inv_wheat 6 | market []
d4h 4 | animals 3 unfed 3 | feed_acts 0 pickup_wheat 1 | shed_wheat 5 inv_wheat 9 | market []
d4h 5 | animals 3 unfed 3 | feed_acts 1 pickup_wheat 2 | shed_wheat 5 inv_wheat 9 | market []
d4h 6 | animals 3 unfed 2 | feed_acts 0 pickup_wheat 1 | shed_wheat 5 inv_wheat 8 | market []
d4h 7 | animals 3 unfed 2 | feed_acts 1 pickup_wheat 1 | shed_wheat 5 inv_wheat 8 | market []
d4h 8 | animals 3 unfed 1 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 7 | market []
d4h 9 | animals 3 unfed 1 | feed_acts 1 pickup_wheat 0 | shed_wheat 5 inv_wheat 7 | market []
d4h10 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
d4h11 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
d4h12 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
d4h13 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
d4h14 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
d4h15 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
d4h16 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
d4h17 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
d4h18 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
d4h19 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
d4h20 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
d4h21 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
d4h22 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
d4h23 | animals 3 unfed 0 | feed_acts 0 pickup_wheat 0 | shed_wheat 5 inv_wheat 6 | market []
