d 0 money=  3000 fert_on_tiles=0 shedF=0 collect_acts=0 | actions=[]
d 2 money=    40 fert_on_tiles=0 shedF=4 collect_acts=0 | actions=[['PICKUP', 'WHEAT', 3]]
d 4 money=    41 fert_on_tiles=0 shedF=4 collect_acts=0 | actions=[]
d 6 money=    80 fert_on_tiles=0 shedF=4 collect_acts=0 | actions=[['PICKUP', 'WHEAT', 3]]
d 8 money=    91 fert_on_tiles=0 shedF=4 collect_acts=0 | actions=[['PICKUP', 'WHEAT', 3]]
d10 money=    61 fert_on_tiles=0 shedF=4 collect_acts=0 | actions=[['PICKUP', 'WHEAT', 3]]
d12 money=    92 fert_on_tiles=0 shedF=5 collect_acts=0 | actions=[]
d14 money=   100 fert_on_tiles=0 shedF=5 collect_acts=0 | actions=[['PICKUP', 'WHEAT', 3]]
d16 money=   149 fert_on_tiles=0 shedF=5 collect_acts=0 | actions=[['PICKUP', 'WHEAT', 3]]
d18 money=  1751 fert_on_tiles=0 shedF=5 collect_acts=0 | actions=[['PICKUP', 'WHEAT', 3]]
d20 money=  3587 fert_on_tiles=0 shedF=5 collect_acts=0 | actions=[['PICKUP', 'WHEAT', 3]]
d22 money=  6861 fert_on_tiles=0 shedF=6 collect_acts=0 | actions=[['PICKUP', 'WHEAT', 3]]
d24 money= 10628 fert_on_tiles=0 shedF=6 collect_acts=0 | actions=[['PICKUP', 'WHEAT', 3]]
d26 money= 12781 fert_on_tiles=0 shedF=4 collect_acts=0 | actions=[['PICKUP', 'WHEAT', 3]]
d28 money= 15171 fert_on_tiles=0 shedF=6 collect_acts=0 | actions=[['PICKUP', 'WHEAT', 3]]
