d14h 0 h8_pos=None inv={} action=None
d14h 1 h8_pos=None inv={} action=None
d14h 2 h8_pos=None inv={} action=None
d14h 3 h8_pos=[4, 5] inv={} action=['WEST']
d14h 4 h8_pos=[3, 5] inv={} action=['NORTH']
d14h 5 h8_pos=[3, 4] inv={} action=['WEST']
d14h 6 h8_pos=[2, 4] inv={} action=['NORTH']
d14h 7 h8_pos=[2, 3] inv={} action=['WATER']
d14h 8 h8_pos=[2, 3] inv={} action=['WEST']
d14h 9 h8_pos=[1, 3] inv={} action=['WATER']
d14h10 h8_pos=[1, 3] inv={} action=['NORTH']
d14h11 h8_pos=[1, 2] inv={} action=['WATER']
d14h12 h8_pos=[1, 2] inv={} action=['NORTH']
d14h13 h8_pos=[1, 1] inv={} action=['WATER']
d14h14 h8_pos=[1, 1] inv={} action=['WEST']
d14h15 h8_pos=[0, 1] inv={} action=['NORTH']
d14h16 h8_pos=[0, 0] inv={} action=['WATER']
d14h17 h8_pos=[0, 0] inv={} action=['EAST']
d14h18 h8_pos=[1, 0] inv={} action=['SOUTH']
d14h19 h8_pos=[1, 1] inv={} action=['SOUTH']
d14h20 h8_pos=[1, 2] inv={} action=['SOUTH']
d14h21 h8_pos=[1, 3] inv={} action=['SOUTH']
d14h22 h8_pos=[1, 4] inv={} action=['SOUTH']
d14h23 h8_pos=[1, 5] inv={} action=['SOUTH']
