d10h 0 hands=0 hires_this_turn=3 | market=[['SELL', 'MILK', 6], ['SELL', 'WOOL', 3], ['SELL', 'FERTILIZER', 5], ['HIRE'], ['HIRE'], ['HIRE'], ['BUY_ANIMAL', 'COW', 1], ['BUY_PRODUCT', 'WHEAT', 4]]
d10h 1 hands=3 hires_this_turn=3 | market=[['HIRE'], ['HIRE'], ['HIRE'], ['BUY_PRODUCT', 'WHEAT', 3], ['BUY_LAND']]
d10h 2 hands=6 hires_this_turn=2 | market=[['HIRE'], ['HIRE'], ['BUY_PRODUCT', 'WHEAT', 3]]
d10h 3 hands=8 hires_this_turn=0 | market=[['BUY_PRODUCT', 'WHEAT', 4]]
d10h 4 hands=8 hires_this_turn=0 | market=[['BUY_PRODUCT', 'WHEAT', 3]]
d10h 5 hands=8 hires_this_turn=0 | market=[['BUY_PRODUCT', 'WHEAT', 3]]
d10h 6 hands=8 hires_this_turn=0 | market=[['BUY_PRODUCT', 'WHEAT', 4]]
d10h 7 hands=8 hires_this_turn=0 | market=[]
d10h 8 hands=8 hires_this_turn=0 | market=[]
d10h 9 hands=8 hires_this_turn=0 | market=[]
d10h10 hands=8 hires_this_turn=0 | market=[]
d10h11 hands=8 hires_this_turn=0 | market=[]
d10h12 hands=8 hires_this_turn=0 | market=[]
d10h13 hands=8 hires_this_turn=0 | market=[]
d10h14 hands=8 hires_this_turn=0 | market=[]
d10h15 hands=8 hires_this_turn=0 | market=[]
d10h16 hands=8 hires_this_turn=0 | market=[]
d10h17 hands=8 hires_this_turn=0 | market=[]
d10h18 hands=8 hires_this_turn=0 | market=[]
d10h19 hands=8 hires_this_turn=0 | market=[]
d10h20 hands=8 hires_this_turn=0 | market=[]
d10h21 hands=8 hires_this_turn=0 | market=[]
d10h22 hands=8 hires_this_turn=0 | market=[]
d10h23 hands=8 hires_this_turn=0 | market=[]
