d4h 0 money=    68 shedF=4 shedW=3 shedC=0 | market=[['SELL', 'FERTILIZER', 4], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['BUY_PRODUCT', 'WHEAT', 1], ['BUY_SEED', 'STRAWBERRY', 1], ['BUY_SEED', 'MELON', 1.0]]
d4h 1 money=   229 shedF=0 shedW=4 shedC=0 | market=[['BUY_SEED', 'STRAWBERRY', 1.0], ['BUY_SEED', 'WHEAT', 2]]
d4h 2 money=   109 shedF=0 shedW=1 shedC=0 | market=[['BUY_SEED', 'WHEAT', 1]]
d4h 3 money=    99 shedF=0 shedW=0 shedC=0 | market=[['BUY_SEED', 'WHEAT', 1]]
d4h 4 money=    89 shedF=0 shedW=0 shedC=0 | market=[['BUY_SEED', 'WHEAT', 1]]
d4h 5 money=    79 shedF=0 shedW=0 shedC=0 | market=[['BUY_SEED', 'WHEAT', 1.0]]
d4h 6 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h 7 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h 8 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h 9 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h10 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h11 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h12 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h13 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h14 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h15 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h16 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h17 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h18 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h19 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h20 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h21 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h22 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d4h23 money=    69 shedF=0 shedW=0 shedC=0 | market=[]
d5h 0 money=    69 shedF=4 shedW=11 shedC=0 | market=[['SELL', 'FERTILIZER', 4], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['BUY_SEED', 'STRAWBERRY', 1], ['BUY_SEED', 'MELON', 1.0], ['BUY_SEED', 'WHEAT', 2]]
d5h 1 money=   238 shedF=0 shedW=8 shedC=0 | market=[['BUY_SEED', 'STRAWBERRY', 1.0], ['BUY_SEED', 'WHEAT', 3]]
d5h 2 money=   108 shedF=0 shedW=8 shedC=0 | market=[['BUY_SEED', 'WHEAT', 1]]
d5h 3 money=    98 shedF=0 shedW=8 shedC=0 | market=[]
d5h 4 money=    98 shedF=0 shedW=8 shedC=0 | market=[]
d5h 5 money=    98 shedF=0 shedW=8 shedC=0 | market=[]
d5h 6 money=    98 shedF=0 shedW=8 shedC=0 | market=[]
d5h 7 money=    98 shedF=0 shedW=8 shedC=0 | market=[]
d5h 8 money=    98 shedF=0 shedW=8 shedC=0 | market=[]
d5h 9 money=    98 shedF=0 shedW=5 shedC=0 | market=[]
d5h10 money=    98 shedF=0 shedW=5 shedC=0 | market=[]
d5h11 money=    98 shedF=0 shedW=2 shedC=0 | market=[]
d5h12 money=    98 shedF=0 shedW=2 shedC=0 | market=[]
d5h13 money=    98 shedF=0 shedW=2 shedC=0 | market=[]
d5h14 money=    98 shedF=0 shedW=2 shedC=0 | market=[]
d5h15 money=    98 shedF=0 shedW=2 shedC=0 | market=[]
d5h16 money=    98 shedF=0 shedW=2 shedC=0 | market=[['BUY_SEED', 'WHEAT', 1]]
d5h17 money=    88 shedF=0 shedW=2 shedC=0 | market=[['BUY_SEED', 'WHEAT', 1]]
d5h18 money=    78 shedF=0 shedW=2 shedC=0 | market=[['BUY_SEED', 'WHEAT', 1]]
d5h19 money=    68 shedF=0 shedW=2 shedC=0 | market=[]
d5h20 money=    68 shedF=0 shedW=2 shedC=0 | market=[]
d5h21 money=    68 shedF=0 shedW=2 shedC=0 | market=[]
d5h22 money=    68 shedF=0 shedW=2 shedC=0 | market=[]
d5h23 money=    68 shedF=0 shedW=2 shedC=0 | market=[]
