d0h 0 money=3000 cows=0 sheep=0 | market=[['HIRE'], ['HIRE'], ['HIRE'], ['BUY_ANIMAL', 'COW', 3], ['BUY_ANIMAL', 'SHEEP', 1], ['BUY_SEED', 'MELON', 7], ['BUY_SEED', 'WHEAT', 10], ['BUY_PRODUCT', 'WHEAT', 12], ['BUY_SEED', 'MELON', 4], ['BUY_SEED', 'WHEAT', 6]] | acts=[]
d0h 4 money=57 cows=1 sheep=0 | market=[] | acts=[['PICKUP', 'WHEAT', 3], ['PICKUP', 'WHEAT', 3]]
d0h 8 money=57 cows=2 sheep=0 | market=[] | acts=[]
d0h12 money=57 cows=2 sheep=0 | market=[] | acts=[['CARE'], ['PLANT', 'MELON']]
d0h20 money=57 cows=3 sheep=1 | market=[] | acts=[['CARE']]
d1h 0 money=57 cows=3 sheep=1 | market=[] | acts=[]
d1h 4 money=57 cows=3 sheep=1 | market=[] | acts=[]
d1h 8 money=57 cows=3 sheep=1 | market=[] | acts=[]
d1h12 money=57 cows=3 sheep=1 | market=[] | acts=[]
d1h20 money=57 cows=3 sheep=1 | market=[] | acts=[['WATER']]
d2h 0 money=57 cows=3 sheep=1 | market=[] | acts=[]
d2h 4 money=57 cows=3 sheep=1 | market=[] | acts=[]
d2h 8 money=57 cows=3 sheep=1 | market=[] | acts=[]
d2h12 money=57 cows=3 sheep=1 | market=[] | acts=[]
d2h20 money=57 cows=3 sheep=1 | market=[] | acts=[['WATER']]
