d14h 0 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3]]
d14h 1 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3], ['PICKUP', 'WHEAT', 3]]
d14h 2 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3]]
d14h 4 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3]]
d14h 7 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3]]
d14h10 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3]]
d14h15 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3]]
d15h 0 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3]]
d15h 1 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3], ['PICKUP', 'WHEAT', 3]]
d15h 2 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3]]
d15h 3 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3]]
d15h 4 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3]]
d15h 9 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3]]
d15h17 shedC=3 shedS=7 | [['PICKUP', 'WHEAT', 3]]
