d2h 0 money=    40 shedF=4 shedW=4 | market=[['SELL', 'FERTILIZER', 4], ['HIRE'], ['HIRE']]
d2h 1 money=   243 shedF=0 shedW=6 | market=[['BUY_PRODUCT', 'WHEAT', 5], ['BUY_SEED', 'WHEAT', 3]]
d2h 2 money=    63 shedF=0 shedW=11 | market=[]
d2h 5 money=    63 shedF=0 shedW=11 | market=[]
d2h12 money=    63 shedF=0 shedW=5 | market=[]
d2h20 money=    63 shedF=0 shedW=5 | market=[]
d2h23 money=    63 shedF=0 shedW=5 | market=[]
d3h 0 money=    63 shedF=4 shedW=10 | market=[['SELL', 'FERTILIZER', 4], ['HIRE'], ['HIRE']]
d3h 1 money=   196 shedF=0 shedW=12 | market=[['BUY_PRODUCT', 'WHEAT', 5]]
d3h 2 money=    41 shedF=0 shedW=17 | market=[]
d3h 5 money=    41 shedF=0 shedW=17 | market=[]
d3h12 money=    41 shedF=0 shedW=11 | market=[]
d3h20 money=    41 shedF=0 shedW=11 | market=[]
d3h23 money=    41 shedF=0 shedW=11 | market=[]
