h 0 money=       1 shed_MELON= 36 shed_WHEAT= 33 price_MELON=283 market=[['SELL', 'WHEAT', 2], ['SELL', 'MELON', 36], ['SELL', 'MILK', 2], ['SELL', 'FERTILIZER', 4]]
h 1 money=   10962 shed_MELON=  0 shed_WHEAT= 28 price_MELON=271 market=[['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE'], ['HIRE']]
h 2 money=   10819 shed_MELON=  0 shed_WHEAT= 28 price_MELON=271 market=[['BUY_ANIMAL', 'COW', 1], ['BUY_PRODUCT', 'WHEAT', 8], ['BUY_SEED', 'MELON', 16], ['BUY_SEED', 'WHEAT', 11], ['BUY_LAND']]
h 3 money=    7725 shed_MELON=  0 shed_WHEAT= 33 price_MELON=271 market=[['SELL', 'WHEAT', 2], ['BUY_ANIMAL', 'COW', 1], ['BUY_PRODUCT', 'WHEAT', 4], ['BUY_LAND']]
h 4 money=    5249 shed_MELON=  0 shed_WHEAT= 32 price_MELON=271 market=[['SELL', 'WHEAT', 1], ['BUY_ANIMAL', 'COW', 1], ['BUY_PRODUCT', 'WHEAT', 5], ['BUY_LAND']]
h 5 money=     697 shed_MELON=  0 shed_WHEAT= 24 price_MELON=271 market=[['BUY_ANIMAL', 'SHEEP', 1], ['BUY_ANIMAL', 'SHEEP', 1], ['BUY_PRODUCT', 'WHEAT', 8]]
h 6 money=       7 shed_MELON=  0 shed_WHEAT= 26 price_MELON=271 market=[]
h 7 money=       7 shed_MELON=  0 shed_WHEAT= 29 price_MELON=271 market=[]
h 8 money=       7 shed_MELON=  0 shed_WHEAT= 17 price_MELON=271 market=[]
h 9 money=       7 shed_MELON=  0 shed_WHEAT= 20 price_MELON=271 market=[]
h10 money=       7 shed_MELON=  0 shed_WHEAT= 17 price_MELON=271 market=[]
h11 money=       7 shed_MELON=  0 shed_WHEAT= 17 price_MELON=271 market=[]
h12 money=       7 shed_MELON=  0 shed_WHEAT= 20 price_MELON=271 market=[]
h13 money=       7 shed_MELON=  0 shed_WHEAT= 17 price_MELON=272 market=[]
h14 money=       7 shed_MELON=  0 shed_WHEAT= 17 price_MELON=272 market=[]
h15 money=       7 shed_MELON=  0 shed_WHEAT= 20 price_MELON=272 market=[]
h16 money=       7 shed_MELON=  0 shed_WHEAT= 17 price_MELON=272 market=[]
h17 money=       7 shed_MELON=  0 shed_WHEAT= 17 price_MELON=272 market=[]
h18 money=       7 shed_MELON=  0 shed_WHEAT= 17 price_MELON=272 market=[]
h19 money=       7 shed_MELON=  0 shed_WHEAT= 17 price_MELON=272 market=[]
h20 money=       7 shed_MELON=  0 shed_WHEAT= 17 price_MELON=272 market=[]
h21 money=       7 shed_MELON=  0 shed_WHEAT= 17 price_MELON=272 market=[]
h22 money=       7 shed_MELON=  0 shed_WHEAT= 17 price_MELON=272 market=[]
h23 money=       7 shed_MELON=  0 shed_WHEAT= 17 price_MELON=272 market=[]
