d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 4 placed cows=3 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=4 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=4 sheep=1 | shed cows=1 sheep=0
d 6 placed cows=4 sheep=1 | shed cows=1 sheep=0
d 6 placed cows=4 sheep=1 | shed cows=1 sheep=0
d 6 placed cows=4 sheep=1 | shed cows=1 sheep=0
d 6 placed cows=4 sheep=1 | shed cows=1 sheep=0
d 6 placed cows=4 sheep=1 | shed cows=1 sheep=0
d 6 placed cows=4 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=4 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=4 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=4 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=5 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=5 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=5 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=5 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=5 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=5 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=5 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=5 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=5 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=5 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=5 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=5 sheep=1 | shed cows=0 sheep=0
d 6 placed cows=5 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d 8 placed cows=7 sheep=1 | shed cows=0 sheep=0
d10 placed cows=9 sheep=1 | shed cows=0 sheep=0
d10 placed cows=9 sheep=1 | shed cows=0 sheep=1
d10 placed cows=9 sheep=1 | shed cows=0 sheep=1
d10 placed cows=9 sheep=1 | shed cows=0 sheep=1
d10 placed cows=9 sheep=1 | shed cows=0 sheep=1
d10 placed cows=9 sheep=1 | shed cows=0 sheep=1
d10 placed cows=9 sheep=1 | shed cows=0 sheep=0
d10 placed cows=9 sheep=1 | shed cows=0 sheep=0
d10 placed cows=9 sheep=2 | shed cows=0 sheep=0
d10 placed cows=9 sheep=2 | shed cows=0 sheep=0
d10 placed cows=9 sheep=2 | shed cows=0 sheep=0
d10 placed cows=9 sheep=2 | shed cows=0 sheep=0
d10 placed cows=9 sheep=2 | shed cows=0 sheep=0
